Id	x	y
1	-0.137909	51.932865
2	-51.29648	82.217116
3	24.11823	87.619726
4	-37.372467	92.504659
5	37.443847	76.387734
6	-18.702083	97.246133
7	57.274285	78.770416
8	-98.552756	77.834615
9	10.167103	66.82093
11	26.385368	78.979146
12	-45.480504	60.972578
13	46.292587	65.398955
14	-30.285559	73.070861
15	66.983284	62.329208
17	97.086188	77.490458
16	-19.348309	75.172195
19	25.367647	46.795992
18	-78.936628	55.567241
21	48.07186	49.869635
20	-66.217091	49.040492
23	68.39803	54.053229
22	-36.795118	44.911281
25	81.696724	52.103767
24	-27.512774	52.70261
27	2.660238	38.534747
26	-80.199383	32.228918
29	30.515874	33.749598
28	-70.474381	37.869573
31	42.081913	39.46351
30	-57.457249	27.67633
34	-10.109171	23.971106
35	99.295559	41.315194
32	-23.541613	32.677307
33	76.775913	28.724946
38	-60.162881	18.284044
39	33.781084	12.742104
36	-76.298515	16.418522
37	14.77189	24.20497
42	-24.222987	12.883624
43	87.318207	25.645938
40	-37.184448	24.790761
41	52.042051	11.52962
46	-60.561869	2.761899
44	-63.168791	-5.444077
45	38.538854	1.29739
51	8.534001	-17.144684
50	-84.493381	-6.677655
49	65.838736	-3.94888
48	-29.126668	4.160636
55	63.94813	-16.785379
54	-48.278938	-21.189216
53	40.549873	-8.311422
52	-68.580952	-23.7313
59	8.109246	-28.799569
58	-98.446746	-26.552614
57	69.155919	-15.147185
56	-11.236713	-21.401324
63	49.205978	-39.091129
62	-48.746131	-31.846092
61	35.87248	-34.723952
60	-71.32962	-34.437754
68	-86.13117	-58.446751
69	13.039921	-56.491757
70	-62.166948	-60.160514
71	42.916303	-54.541381
64	-27.724253	-37.415201
65	64.087728	-28.263963
66	-5.283058	-41.576693
67	86.375425	-43.850503
76	-94.176591	-73.107803
77	14.412908	-64.63342
78	-64.45863	-72.64155
79	25.608552	-77.964527
72	-38.519756	-62.653645
73	58.121042	-56.340318
74	-24.91954	-46.150693
75	81.233114	-41.885416
85	93.471551	-71.462939
84	-2.761031	-70.774511
87	27.995454	-91.513257
86	-58.272036	-85.898375
81	51.403828	-76.280776
80	-53.445602	-61.856375
83	69.300439	-75.69122
82	-28.632697	-73.130102
92	1.319613	-46.790531
89	39.025526	-76.283694
88	-41.810052	-81.032757
91	61.367529	-81.890478
90	-26.74558	-81.207675
